dialogue time.chunk time rule.reps word.reps letter.reps rule.total word.total letter.total score
q1ec1 10 11.3044 2 1 1 17 17 74 135
q1ec1 20 22.7006 16 7 31 43 43 196 135
q1ec1 30 30.0528 42 14 58 72 72 318 135
q1ec1 40 40.5468 50 19 67 85 85 352 135
q1ec1 50 52.1278 59 22 78 97 97 394 135
q1ec1 60 60.0659 70 29 101 111 111 447 135
q1ec1 70 70.1977 84 35 115 131 131 523 135
q1ec1 80 80.3919 110 50 143 167 167 625 135
q1ec1 90 91.6481 128 58 168 186 186 707 135
q1ec1 100 100.0395 147 61 181 206 206 790 135
q1ec1 110 110.5377 163 67 213 225 225 919 135
q1ec1 120 120.1095 179 78 241 243 243 983 135
q1ec1 130 130.597 202 93 281 268 268 1077 135
q1ec1 140 140.4389 221 103 300 287 287 1139 135
q1ec1 150 152.575 240 112 330 308 308 1235 135
q1ec1 160 160.0897 255 119 349 326 326 1313 135
q1ec1 170 170.7742 274 127 364 347 347 1379 135
q1ec1 180 181.0104 293 133 414 368 368 1581 135
q1ec1 190 190.2715 304 135 419 381 381 1624 135
q1ec1 200 200.2814 327 146 452 408 408 1764 135
q1ec1 210 210.8717 350 154 477 441 441 1874 135
q1ec1 220 220.064 364 161 488 458 458 1915 135
q1ec1 230 231.898 371 165 494 467 467 1940 135
q1ec1 240 240.6386 391 176 524 488 488 2008 135
q1ec1 250 250.9409 406 181 539 503 503 2067 135
q1ec1 260 264.4966 419 190 552 519 519 2098 135
q1ec1 -1 264.4966 419 190 552 519 519 2098 135
q1ec2 10 10.0926 7 5 20 18 18 63 227
q1ec2 20 20.2143 27 11 35 49 49 180 227
q1ec2 30 30.5807 50 23 65 82 82 282 227
q1ec2 40 40.1438 70 37 122 121 121 462 227
q1ec2 50 51.5442 87 43 132 140 140 518 227
q1ec2 60 62.9627 94 45 135 149 149 545 227
q1ec2 70 71.4717 106 48 139 170 170 617 227
q1ec2 80 80.5066 123 53 147 188 188 679 227
q1ec2 90 90.8635 141 63 175 212 212 764 227
q1ec2 100 105.8585 145 67 182 219 219 794 227
q1ec2 110 110.9782 164 77 194 241 241 904 227
q1ec2 120 121.2607 174 81 199 252 252 923 227
q1ec2 130 130.6416 212 107 254 293 293 1046 227
q1ec2 140 140.1154 234 116 269 317 317 1134 227
q1ec2 150 153.2668 249 126 292 338 338 1200 227
q1ec2 160 160.7604 259 130 298 351 351 1253 227
q1ec2 170 170.3158 273 141 321 368 368 1296 227
q1ec2 180 180.4805 303 151 338 400 400 1429 227
q1ec2 190 190.1726 327 161 357 427 427 1498 227
q1ec2 200 200.1504 356 173 374 457 457 1600 227
q1ec2 210 211.5602 378 182 386 481 481 1664 227
q1ec2 220 223.0097 390 189 397 493 493 1694 227
q1ec2 230 230.2404 423 203 444 532 532 1886 227
q1ec2 240 240.5942 445 213 460 556 556 1998 227
q1ec2 250 251.7012 469 227 493 583 583 2085 227
q1ec2 260 261.3584 500 244 529 615 615 2202 227
q1ec2 270 273.6578 515 251 546 631 631 2261 227
q1ec2 280 284.6294 522 254 549 641 641 2294 227
q1ec2 290 290.7243 531 261 562 650 650 2314 227
q1ec2 300 302.1142 552 269 575 674 674 2377 227
q1ec2 310 310.0221 569 279 587 693 693 2444 227
q1ec2 320 320.4141 591 290 616 715 715 2509 227
q1ec2 330 332.2987 635 315 667 759 759 2629 227
q1ec2 -1 333.5913 640 319 672 764 764 2636 227
q1ec3 10 14.1799 0 0 0 2 2 11 74
q1ec3 20 21.5003 0 2 16 11 11 53 74
q1ec3 30 34.6838 1 4 19 21 21 69 74
q1ec3 40 40.5435 2 5 20 23 23 73 74
q1ec3 50 55.9503 17 15 53 49 49 182 74
q1ec3 60 60.3936 29 19 80 63 63 275 74
q1ec3 70 70.8876 35 19 80 71 71 294 74
q1ec3 80 84.1765 46 25 95 89 89 346 74
q1ec3 90 92.4671 50 26 96 93 93 351 74
q1ec3 100 102.8953 58 28 100 105 105 439 74
q1ec3 110 110.8416 67 34 114 118 118 483 74
q1ec3 120 120.1696 71 37 126 124 124 506 74
q1ec3 130 137.5494 77 40 136 134 134 544 74
q1ec3 140 148.0139 78 41 137 135 135 545 74
q1ec3 150 152.9315 80 42 138 137 137 547 74
q1ec3 160 170.3375 81 42 138 139 139 558 74
q1ec3 170 175.0944 81 42 138 140 140 561 74
