pairId,who,ent
1,A,2.28483256276
1,A,3.1900162673
1,A,1.94886020912
1,A,1.15795803978
1,A,1.15795803978
1,A,2.61242958211
1,A,2.52572720769
1,A,2.34385853278
1,A,3.55936907927
1,A,2.20241757823
1,A,1.44642675127
1,A,1.15795803978
1,A,2.21359423214
1,A,2.45386219098
1,A,2.65246241859
1,A,2.48147359624
1,A,2.65373959935
1,A,2.76267416872
1,A,2.49361451333
1,A,2.84203133278
1,A,2.65246241859
1,A,1.15795803978
1,A,2.65246241859
1,A,2.34650611029
1,A,2.21359423214
1,A,2.63632940562
1,A,2.78451960968
1,A,2.96114254846
1,A,2.43098533132
1,A,1.15795803978
1,A,1.15795803978
1,A,1.15795803978
1,A,2.25221843017
1,A,2.68561579733
1,A,2.49361451333
1,A,2.92307763649
1,A,1.15795803978
1,A,2.50822804823
1,A,2.83103315184
1,A,2.57096040621
1,A,2.63508202561
1,A,2.27065282559
1,A,2.32431273027
1,A,2.87382667658
1,A,2.34385853278
1,A,1.44642675127
1,A,2.70850420059
1,A,1.15795803978
1,A,2.48936217223
1,A,1.44642675127
1,A,3.23471431297
1,A,3.17385135725
1,A,2.32431273027
1,A,2.51117569414
1,A,2.18444577965
1,A,2.10804538594
1,A,2.7157028414
1,A,2.18444577965
1,A,2.43314140705
1,A,2.81488578013
1,A,2.82288697175
1,A,1.15795803978
1,A,3.10156450477
1,A,2.56174334521
1,A,2.32431273027
1,A,2.41136426759
1,A,2.26639322291
1,A,1.44642675127
1,A,2.88770292536
1,A,3.43192825643
1,A,2.29152288625
1,A,2.8279709883
1,A,2.80739673079
1,A,1.44642675127
1,A,2.79444541175
1,A,2.25274121234
1,A,1.44642675127
1,A,2.78918722861
1,A,1.15795803978
1,A,2.72527389456
1,A,2.489453648
1,A,2.89780733661
1,A,3.17867982425
1,A,2.32230530849
1,A,2.7181431104
1,A,1.15795803978
1,A,3.48786770455
1,A,1.15795803978
1,A,2.62614154897
1,A,2.10804538594
1,A,2.85802485066
1,A,2.45197419352
1,A,1.44642675127
1,A,3.08316454294
1,A,1.44642675127
1,A,2.80825384409
1,A,2.91924317231
1,A,2.10804538594
1,A,1.15795803978
1,A,3.06508671504
1,A,2.96689923587
1,A,2.18444577965
1,A,2.20226062612
1,A,3.43168408898
1,A,2.47156878442
1,A,3.25046759358
1,A,2.84829814014
